id,clubs,clubs-href,players,players-href,full name,position desc,date of birth,nation,image-src,weight,height,rating,age,Aerial Ability,Aggression,Command of Area,Composure,Concentration,Control,Corners,Creativity,Crossing,Determination,Distribution,Dribbling,Finishing,Flair,Free Kicks,Handling,Leadership,Long Passing,Long Shots,Marking,Movement,One on Ones,Pace,Passing,Penalties,Positioning,Saving Penalties,Shot Stopping,Stamina,Strength,Tackling,Volleying,Work Rate,D(R),D(L),D(C),GK,DM(R),DM(L),DM(C),M(R),M(L),M(C),AM(R),AM(L),AM(C),F(R),F(L),F(C),right,left
25,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"AZPILICUETA, César",https://en.soccerwiki.org/player.php?pid=22179,César Azpilicueta Tanco,Fullback,28-Aug-89,Spain,https://cdn.soccerwiki.org/images/player/22179.jpg,75,178,92,26,0,0,0,4,8,0,2,0,3,0,0,0,0,1,0,0,0,0,0,5,0,0,0,9,0,0,0,0,6,0,10,0,7,3,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0
26,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"CAZORLA, Santi",https://en.soccerwiki.org/player.php?pid=3017,Santiago Cazorla González,Playmaker,13-Dec-84,Spain,https://cdn.soccerwiki.org/images/player/3017.jpg,67,169,92,31,0,0,0,4,0,9,0,10,0,0,0,3,0,7,6,0,0,1,2,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,0,0,0,1,1
27,Tottenham Hotspur,https://en.soccerwiki.org/squad.php?clubid=80,"LLORIS, Hugo",https://en.soccerwiki.org/player.php?pid=13340,Hugo Lloris,Keeper,26-Dec-86,France,https://cdn.soccerwiki.org/images/player/13340.jpg,73,188,92,29,0,0,0,0,7,0,1,0,0,0,6,0,0,0,0,10,0,0,0,0,3,0,5,0,0,8,0,9,0,2,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"HART, Joe",https://en.soccerwiki.org/player.php?pid=8047,Charles Joesph John Hart,Keeper,19-Apr-87,England,https://cdn.soccerwiki.org/images/player/8047.jpg,91,196,92,29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,10,4,0,0,1,6,9,0,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,Tottenham Hotspur,https://en.soccerwiki.org/squad.php?clubid=80,"ERIKSEN, Christian",https://en.soccerwiki.org/player.php?pid=43493,Christian Dannemann Eriksen,Advanced Playmaker,14-Feb-92,Denmark,https://cdn.soccerwiki.org/images/player/43493.jpg,71,177,91,24,0,0,0,0,0,7,9,6,0,0,0,1,0,0,3,0,0,0,0,0,5,0,10,4,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,1,1
30,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"CUADRADO, Juan",https://en.soccerwiki.org/player.php?pid=36627,Juan Guillermo Cuadrado Bello,Winger,26-May-88,Colombia,https://cdn.soccerwiki.org/images/player/36627.jpg,71,178,91,28,0,0,0,0,0,9,2,0,0,6,0,7,0,0,0,0,0,0,0,0,1,0,10,0,0,3,0,0,8,5,0,0,4,1,0,0,0,1,0,0,3,0,0,3,3,1,0,0,0,1,0
31,Liverpool,https://en.soccerwiki.org/squad.php?clubid=44,"HENDERSON, Jordan",https://en.soccerwiki.org/player.php?pid=36211,Jordan Brian Henderson,Box-To-Box Midfielder,17-Jun-90,England,https://cdn.soccerwiki.org/images/player/36211.jpg,67,182,91,26,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,7,0,5,10,0,4,0,0,8,6,0,0,9,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,1,0
32,Liverpool,https://en.soccerwiki.org/squad.php?clubid=44,"COUTINHO, Philippe",https://en.soccerwiki.org/player.php?pid=39823,Philippe Coutinho Correia,Advanced Playmaker,12-Jun-92,Brazil,https://cdn.soccerwiki.org/images/player/39823.jpg,71,172,91,24,0,0,0,4,0,9,1,10,2,0,0,3,0,6,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,0,1,0
33,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"FELLAINI, Marouane",https://en.soccerwiki.org/player.php?pid=16048,Marouane Fellaini-Bakkioui,Target Man,22-Nov-87,Belgium,https://cdn.soccerwiki.org/images/player/16048.jpg,85,194,91,28,5,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,10,6,3,9,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,1,0
34,Everton,https://en.soccerwiki.org/squad.php?clubid=31,"LUKAKU, Romelu",https://en.soccerwiki.org/player.php?pid=39507,Romelu Benjamin Lukaku,Target Man,13-May-93,Belgium,https://cdn.soccerwiki.org/images/player/39507.jpg,94,192,91,23,6,0,0,5,0,0,1,0,0,0,0,0,4,2,0,0,0,0,3,0,10,0,9,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
35,Tottenham Hotspur,https://en.soccerwiki.org/squad.php?clubid=80,"VERTONGHEN, Jan",https://en.soccerwiki.org/player.php?pid=17054,Jan Bert Lieve Vertonghen,Ball-Playing Defender,24-Apr-87,Belgium,https://cdn.soccerwiki.org/images/player/17054.jpg,86,189,91,29,10,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,4,0,8,0,0,6,7,9,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"XHAKA, Granit",https://en.soccerwiki.org/player.php?pid=46443,Granit Xhaka,Box-To-Box Midfielder,27-Sep-92,Switzerland,https://cdn.soccerwiki.org/images/player/46443.jpg,82,185,91,23,0,0,0,6,0,10,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,7,0,1,0,0,8,3,0,0,9,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,1
37,Leicester City,https://en.soccerwiki.org/squad.php?clubid=41,"MAHREZ, Riyad",https://en.soccerwiki.org/player.php?pid=58616,Riyad Mahrez,Advanced Playmaker,21-Feb-91,Algeria,https://cdn.soccerwiki.org/images/player/58616.jpg,62,179,91,25,0,0,0,5,0,10,0,9,3,0,0,2,4,7,0,0,0,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,0,0,1
38,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"HERRERA, Ander",https://en.soccerwiki.org/player.php?pid=37845,Ander Herrera Agüera,Box-To-Box Midfielder,14-Aug-89,Spain,https://cdn.soccerwiki.org/images/player/37845.jpg,73,182,91,26,0,0,0,0,0,7,0,8,0,3,0,0,0,6,0,0,0,0,0,0,2,0,5,10,0,4,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0
39,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"OTAMENDI, Nicolás",https://en.soccerwiki.org/player.php?pid=38343,Nicolás Hernán Gonzalo Otamendi,Stopper,12-Feb-88,Argentina,https://cdn.soccerwiki.org/images/player/38343.jpg,75,183,91,28,8,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,6,0,0,3,7,10,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,Tottenham Hotspur,https://en.soccerwiki.org/squad.php?clubid=80,"ALDERWEIRELD, Toby",https://en.soccerwiki.org/player.php?pid=22410,Toby Alderweireld,Ball-Playing Defender,02-Mar-89,Belgium,https://cdn.soccerwiki.org/images/player/22410.jpg,80,187,91,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,9,0,6,0,0,2,8,10,0,7,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
41,Tottenham Hotspur,https://en.soccerwiki.org/squad.php?clubid=80,"KANE, Harry",https://en.soccerwiki.org/player.php?pid=49590,Harry Edward Kane,Target Man,28-Jul-93,England,https://cdn.soccerwiki.org/images/player/49590.jpg,65,188,91,23,9,0,0,6,0,2,0,0,0,0,0,0,10,0,0,0,0,0,7,0,5,0,4,0,1,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0
42,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"GIROUD, Olivier",https://en.soccerwiki.org/player.php?pid=15177,Olivier Giroud,Target Man,30-Sep-86,France,https://cdn.soccerwiki.org/images/player/15177.jpg,88,193,91,29,5,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,6,0,7,0,2,0,0,1,0,0,3,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
43,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"RAMSEY, Aaron",https://en.soccerwiki.org/player.php?pid=28700,Aaron James Ramsey,Box-To-Box Midfielder,26-Dec-90,Wales,https://cdn.soccerwiki.org/images/player/28700.jpg,76,178,91,25,0,0,0,0,0,7,0,8,0,0,0,0,3,0,0,0,0,1,6,0,4,0,0,10,0,0,0,0,5,0,9,0,2,0,0,0,0,0,0,0,3,0,3,1,0,3,0,0,0,1,1
44,Crystal Palace,https://en.soccerwiki.org/squad.php?clubid=27,"CABAYE, Yohan",https://en.soccerwiki.org/player.php?pid=5580,Yohan Cabaye,Playmaker,14-Jan-86,France,https://cdn.soccerwiki.org/images/player/5580.jpg,72,175,91,30,0,0,0,3,0,0,0,9,0,0,0,0,0,0,7,0,5,1,2,0,0,0,0,4,0,10,0,0,6,0,0,0,8,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,1,0
45,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"NOLITO, Manuel",https://en.soccerwiki.org/player.php?pid=44975,Manuel Agudo Durán,Wide Forward,15-Oct-86,Spain,https://cdn.soccerwiki.org/images/player/44975.jpg,73,172,91,29,0,0,0,0,0,0,10,0,8,3,0,0,0,1,9,0,0,0,0,0,2,0,7,0,0,4,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,1,0
46,Tottenham Hotspur,https://en.soccerwiki.org/squad.php?clubid=80,"LAMELA, Érik",https://en.soccerwiki.org/player.php?pid=39748,Érik Manuel Lamela,Wide Forward,04-Mar-92,Argentina,https://cdn.soccerwiki.org/images/player/39748.jpg,74,182,91,24,0,0,0,4,0,9,0,10,0,0,0,3,1,7,6,0,0,0,2,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,0,0,1
47,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"SCHNEIDERLIN, Morgan",https://en.soccerwiki.org/player.php?pid=22401,Morgan Schneiderlin,Ball-Winning Midfielder,08-Nov-89,France,https://cdn.soccerwiki.org/images/player/22401.jpg,75,181,91,26,9,0,0,3,8,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,6,0,4,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0
48,West Ham United,https://en.soccerwiki.org/squad.php?clubid=85,"PAYET, Dimitri",https://en.soccerwiki.org/player.php?pid=15164,Dimitri Payet,Advanced Playmaker,29-Mar-87,France,https://cdn.soccerwiki.org/images/player/15164.jpg,77,175,91,29,0,0,0,0,0,0,8,10,6,4,0,0,0,0,9,0,0,0,7,0,2,0,3,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,0,1,0
49,Crystal Palace,https://en.soccerwiki.org/squad.php?clubid=27,"MANDANDA, Steve",https://en.soccerwiki.org/player.php?pid=6752,Steve Mandanda,Keeper,28-Mar-85,France,https://cdn.soccerwiki.org/images/player/6752.jpg,82,185,91,31,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,10,0,0,0,3,0,8,0,0,5,0,9,0,7,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"WILSHERE, Jack",https://en.soccerwiki.org/player.php?pid=35327,Jack Andrew Garry Wilshere,Playmaker,01-Jan-92,England,https://cdn.soccerwiki.org/images/player/35327.jpg,65,173,91,24,0,9,0,3,0,10,0,8,0,0,0,2,0,0,0,0,0,1,0,0,7,0,0,4,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,3,1,1,3,0,0,0,0,1
51,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"CAHILL, Gary",https://en.soccerwiki.org/player.php?pid=36,Gary James Cahill,Stopper,19-Dec-85,England,https://cdn.soccerwiki.org/images/player/36.jpg,86,193,91,30,10,0,0,4,0,0,3,0,0,0,0,0,0,2,0,0,6,0,0,5,0,0,7,0,0,8,0,0,0,1,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"ZABALETA, Pablo",https://en.soccerwiki.org/player.php?pid=2836,Pablo Javier Zabaleta Girod,Fullback,16-Jan-85,Argentina,https://cdn.soccerwiki.org/images/player/2836.jpg,70,176,91,31,0,10,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,8,0,7,0,0,3,0,0,1,0,9,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
53,Tottenham Hotspur,https://en.soccerwiki.org/squad.php?clubid=80,"DEMBÉLÉ, Mousa",https://en.soccerwiki.org/player.php?pid=5470,Mousa Sidi Yaya Dembélé,Box-To-Box Midfielder,16-Jul-87,Belgium,https://cdn.soccerwiki.org/images/player/5470.jpg,82,185,91,29,0,0,0,3,0,10,1,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,7,9,0,8,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,1
54,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"CARRICK, Michael",https://en.soccerwiki.org/player.php?pid=1860,Michael Carrick,Deep-Lying Playmaker,28-Jul-81,England,https://cdn.soccerwiki.org/images/player/1860.jpg,74,188,91,35,0,0,0,6,0,10,4,9,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,7,0,8,0,0,0,2,0,0,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,1,1
55,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"WALCOTT, Theo",https://en.soccerwiki.org/player.php?pid=5430,Theo James Walcott,Wide Forward,16-Mar-89,England,https://cdn.soccerwiki.org/images/player/5430.jpg,67,175,91,27,0,0,0,7,0,8,4,0,3,0,0,0,6,2,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,1,0
